transaction_id,customer_id,transaction_date,amount,transaction_type
56,55,2025-01-10 21:00:05,58.81,withdrawal
57,852,2025-07-25 20:02:49,458.49,withdrawal
58,666,2024-08-20 00:12:23,225.73,refund
59,384,2023-10-31 19:51:42,350.73,purchase
17,405,2022-01-21 05:53:58,206.61,purchase
61,603,2023-11-21 23:02:11,71.18,withdrawal
62,,2024-07-14 14:02:20,493.38,deposit
63,97,2022-05-09 07:12:52,75.05,withdrawal
64,460,2024-09-24 17:37:41,143.3,refund
65,766,2024-12-12 19:12:34,378.04,refund
66,652,2024-12-09 03:51:34,348.0,deposit
67,423,2022-03-10 13:50:28,136.58,withdrawal
68,591,2023-06-14 21:31:33,335.58,
69,826,2025-01-05 04:19:02,387.76,refund
70,201,2025-05-12 08:45:09,17.41,refund
71,464,2022-03-23 21:27:48,15.44,purchase
72,717,2025-08-07 09:21:18,470.75,refund
73,48,2023-12-10 03:10:07,136.53,refund
74,815,2022-03-10 16:54:06,184.51,refund
75,225,2025-05-23 00:53:31,175.49,withdrawal
76,269,2025-01-12 18:18:41,438.14,refund
77,170,2022-02-05 14:10:11,356.24,withdrawal
78,587,2024-10-14 12:18:46,60.76,deposit
79,518,2022-05-23 08:41:06,284.2,withdrawal
80,21,2024-06-23 09:20:59,203.37,withdrawal
81,69,2022-06-10 19:26:11,,refund
68,591,2023-06-14 21:31:33,335.58,
83,,2023-09-25 03:51:44,203.6,withdrawal
84,526,2022-02-11 06:54:19,433.27,refund
85,144,2025-06-19 01:29:13,129.14,withdrawal
86,591,2022-11-10 23:10:24,10.84,purchase
87,,2025-04-28 21:24:23,186.56,refund
88,781,2023-01-17 09:27:04,481.76,purchase
89,537,2023-07-07 12:39:47,336.22,purchase
90,431,2024-11-11 02:52:10,116.55,deposit
91,644,2023-06-24 15:40:05,369.23,deposit
92,614,2024-07-24 09:31:38,178.34,purchase
93,223,2022-01-20 11:02:33,499.36,purchase
94,310,2023-04-19 08:54:13,358.35,deposit
95,711,,104.79,refund
96,662,2023-06-23 20:14:37,287.2,deposit
97,507,2025-01-31 06:05:25,456.94,deposit
98,627,2023-01-09 09:33:45,384.27,purchase
99,309,2022-10-24 16:59:07,223.61,
100,422,2022-12-05 03:54:03,10.02,withdrawal
101,46,2023-01-08 04:13:54,335.5,
102,603,2022-03-31 10:47:54,285.43,withdrawal
103,907,2022-04-04 19:57:24,176.42,refund
104,458,2025-01-03 22:13:21,,withdrawal
105,809,2024-03-10 00:35:25,383.24,purchase
106,563,2023-05-10 13:36:49,251.45,withdrawal
107,766,2023-03-07 12:48:16,204.8,withdrawal
108,795,2023-07-02 06:46:19,145.07,withdrawal
109,21,,157.11,withdrawal
110,755,2022-11-26 04:46:56,9.2,refund
111,971,,204.34,refund
112,516,2023-09-12 10:55:29,137.59,refund
113,994,2023-01-07 08:26:55,98.74,withdrawal
114,458,2024-12-13 03:17:16,274.07,purchase
115,289,2024-05-04 06:23:08,99.08,purchase
116,915,2023-08-31 09:39:34,458.05,withdrawal
117,923,2022-07-03 14:45:34,405.73,refund
118,237,2024-04-12 12:31:47,9.29,refund
119,25,2023-10-21 19:42:41,315.53,purchase
120,734,2023-10-06 15:02:25,415.13,withdrawal
121,765,2024-12-17 00:42:07,365.33,purchase
122,361,2023-11-12 16:09:13,421.85,withdrawal
123,330,2024-05-06 18:34:18,118.55,purchase
124,353,2022-06-15 04:56:18,95.68,refund
125,100,2023-08-03 02:02:59,245.58,withdrawal
126,458,2025-05-27 13:39:59,132.68,purchase
127,252,2022-04-30 18:39:27,116.65,withdrawal
128,13,2024-07-04 23:49:42,442.33,withdrawal
129,957,2025-05-03 14:17:06,30.07,refund
18,691,2025-01-26 22:53:24,79.3,deposit
131,555,2024-01-13 05:52:32,64.06,purchase
132,631,2022-10-26 21:46:04,160.86,
133,831,2023-05-16 00:19:41,11.21,purchase
134,265,2022-03-03 02:51:01,463.63,refund
135,449,2023-07-09 05:39:26,358.96,purchase
136,897,2022-11-13 15:32:28,452.32,withdrawal
137,358,2025-07-10 01:25:39,61.18,
138,646,2024-07-09 02:46:00,252.86,purchase
139,399,2023-12-30 21:30:44,455.08,withdrawal
140,531,2024-09-13 20:45:43,264.89,refund
141,759,2024-07-22 10:59:34,311.79,purchase
142,147,2023-12-14 08:39:44,,purchase
143,797,2022-02-02 05:45:21,170.23,purchase
144,291,2023-09-25 10:31:18,208.0,withdrawal
145,,2022-09-22 10:05:39,86.97,refund
146,709,2024-09-02 03:12:48,412.44,
147,556,2023-11-11 19:59:33,176.49,purchase
148,920,2023-11-03 20:41:03,471.7,withdrawal
149,667,2025-05-18 15:03:24,188.85,
150,735,2023-08-17 10:31:56,434.29,withdrawal
151,687,2022-05-08 21:25:34,16.72,deposit
152,389,2022-04-05 19:43:04,378.48,deposit
153,761,2025-04-03 19:29:19,418.76,withdrawal
154,26,2024-09-23 06:11:31,490.22,withdrawal
155,153,2024-03-07 18:01:43,380.07,deposit
156,866,2025-03-27 13:38:22,74.8,
157,467,2022-06-17 18:34:16,199.94,deposit
158,655,2023-08-31 13:22:03,84.77,deposit
159,365,2024-11-26 06:02:22,207.78,deposit
160,102,2025-07-22 14:07:39,56.5,withdrawal
161,200,2022-12-16 18:47:20,446.91,refund
162,446,2023-06-14 11:37:27,165.23,deposit
163,929,2024-07-28 08:52:20,385.07,refund
164,878,,303.79,deposit
165,442,2024-09-30 14:44:55,96.44,deposit
166,733,2022-01-12 20:43:21,249.26,deposit
167,902,2023-07-13 12:08:46,371.61,withdrawal
168,482,,233.44,deposit
169,150,2022-10-23 09:09:11,34.52,withdrawal
170,410,2025-02-01 08:43:15,277.53,purchase
171,992,2022-08-19 19:15:02,353.8,refund
172,359,2022-07-03 05:59:54,420.28,withdrawal
173,583,2022-05-16 21:12:37,269.21,refund
174,949,2022-05-19 16:41:55,173.65,purchase
175,649,2023-12-23 06:17:18,452.07,deposit
176,270,2025-04-17 20:08:45,321.31,deposit
177,738,2025-05-04 20:32:14,285.98,
178,641,2024-08-10 18:25:15,475.12,deposit
179,953,2024-06-16 09:42:50,132.63,withdrawal
180,22,2023-01-30 03:41:06,75.23,purchase
181,482,2024-07-28 14:40:37,404.51,refund
182,924,2024-02-17 15:45:02,15.66,refund
183,529,,463.2,withdrawal
184,791,2025-07-25 21:57:18,477.61,withdrawal
185,763,2023-09-07 02:15:52,94.44,deposit
186,921,2024-04-23 03:35:50,151.83,refund
187,651,2023-11-24 07:19:10,206.68,refund
188,694,2024-04-09 12:19:23,22.07,purchase
189,403,2025-04-05 21:29:13,395.34,deposit
190,683,2023-06-01 12:15:23,36.72,deposit
191,318,2022-01-22 21:07:30,483.67,refund
192,350,2025-03-05 12:49:19,108.08,deposit
193,544,2022-11-06 13:03:24,85.08,purchase
194,297,2024-07-02 06:45:21,266.66,deposit
195,780,2024-01-03 02:50:56,389.92,deposit
196,796,2023-03-16 07:14:49,147.71,refund
197,454,2024-07-24 03:00:08,298.99,deposit
198,166,2022-02-12 13:51:20,337.72,deposit
199,452,2025-05-30 18:36:49,88.09,withdrawal
200,316,2023-07-18 13:09:25,324.26,refund
201,491,2022-01-08 10:25:23,397.44,deposit
202,359,2022-09-24 08:57:56,490.1,withdrawal
203,107,2022-10-26 20:14:57,99.51,purchase
204,246,,403.8,deposit
205,195,2024-08-20 08:31:58,240.02,
206,189,2022-05-18 23:41:39,417.93,refund
64,460,2024-09-24 17:37:41,143.3,refund
208,307,2024-05-06 09:28:47,91.53,refund
209,654,2024-11-24 14:43:41,181.98,refund
210,918,2022-01-22 16:54:17,379.35,deposit
211,960,2023-10-19 02:57:41,159.25,purchase
212,279,2025-06-07 22:18:31,498.37,deposit
213,255,2024-02-23 07:53:28,69.58,refund
214,532,2024-08-09 15:57:08,439.42,refund
215,544,2023-04-30 11:52:09,404.27,deposit
216,180,2024-10-19 07:18:42,156.18,refund
217,588,2024-02-25 20:34:10,156.19,refund
218,134,2023-10-11 13:49:01,110.99,deposit
219,180,2025-01-23 14:22:08,,purchase
220,,2023-11-09 20:00:13,271.44,withdrawal
221,,2023-06-26 11:19:10,251.12,purchase
222,768,2025-03-15 11:03:21,495.29,withdrawal
223,551,2025-04-25 09:57:29,207.87,deposit
224,473,2023-04-06 20:14:56,334.39,deposit
225,995,2025-03-04 07:42:47,432.82,refund
226,32,2025-01-29 16:36:06,430.53,refund
227,976,2022-01-09 22:05:14,89.4,deposit
228,35,2022-11-30 04:56:21,107.43,deposit
229,32,2023-07-18 12:28:45,137.76,refund
230,609,2022-05-29 20:10:23,288.12,
231,122,2024-11-13 01:09:04,59.2,purchase
232,38,2022-08-01 20:18:46,333.29,deposit
233,446,2025-08-26 04:42:16,413.36,withdrawal
234,98,2023-04-05 09:26:15,313.42,withdrawal
235,115,2024-07-30 08:48:33,212.57,withdrawal
236,33,2024-11-25 19:07:14,183.3,withdrawal
237,525,2025-01-14 04:09:03,212.89,withdrawal
238,356,2023-06-07 20:48:04,50.04,deposit
239,889,2023-04-14 07:09:53,437.73,purchase
240,569,2022-07-11 21:44:20,227.24,refund
241,391,2023-11-28 07:13:01,355.7,withdrawal
242,443,2023-12-19 14:54:09,422.49,deposit
243,648,2022-11-03 03:42:45,27.82,withdrawal
244,162,2023-02-03 04:49:18,56.19,deposit
245,863,2022-05-29 21:46:34,372.29,refund
246,731,2023-01-10 09:01:55,391.32,withdrawal
247,399,2024-09-02 23:27:00,153.13,withdrawal
248,44,2022-03-31 23:13:18,129.63,refund
249,357,2024-08-11 21:34:41,115.53,refund
250,739,2025-01-25 22:53:33,32.03,deposit
251,273,2024-02-26 17:30:31,15.61,refund
252,222,2025-02-02 04:24:01,219.35,refund
253,590,2022-05-23 00:18:22,76.12,withdrawal
254,926,,65.12,purchase
255,155,2022-04-23 04:42:28,488.05,deposit
256,194,2022-03-30 14:22:31,294.52,refund
257,,2024-06-11 10:38:34,70.53,deposit
258,872,2024-10-20 13:43:08,208.35,purchase
259,160,2022-05-27 05:35:35,82.39,
260,797,2023-02-09 06:03:00,43.62,refund
261,885,2025-06-26 14:10:32,,withdrawal
262,649,2025-02-16 09:24:02,423.68,refund
263,954,2024-08-03 23:02:57,407.73,
264,269,2025-02-27 23:47:32,87.06,refund
265,720,2025-05-08 12:27:48,334.79,purchase
266,860,2022-04-13 15:17:10,228.81,purchase
267,980,2023-07-26 09:00:39,384.36,deposit
268,,2024-11-19 02:32:32,381.82,purchase
269,799,2025-05-30 11:21:48,459.35,deposit
270,610,2023-07-20 21:20:02,238.75,withdrawal
271,331,2024-01-16 09:48:51,306.66,deposit
272,140,2023-03-22 09:41:24,311.04,refund
273,742,2024-03-21 10:48:46,71.55,purchase
274,7,2025-03-11 12:55:58,440.38,purchase
275,550,2022-06-27 21:16:40,24.53,withdrawal
276,606,2022-06-08 07:21:19,474.39,purchase
277,632,2024-03-07 18:18:16,355.56,deposit
278,187,2025-03-04 17:13:32,127.88,refund
279,622,2022-01-17 12:28:10,36.3,purchase
280,375,2022-09-16 12:34:15,372.59,withdrawal
281,13,2023-12-03 18:55:53,134.34,purchase
282,218,2025-02-08 03:51:45,48.02,withdrawal
283,43,2022-08-01 12:17:09,67.57,refund
284,231,2023-09-25 12:10:53,208.15,purchase
285,286,2022-09-05 16:50:17,327.82,deposit
286,736,2022-10-13 11:20:44,64.27,purchase
287,906,2022-10-30 00:44:37,407.62,purchase
288,85,2025-02-22 01:40:20,434.69,purchase
289,425,2023-02-22 18:07:14,442.24,withdrawal
290,65,2022-06-28 08:34:39,86.82,purchase
291,818,2023-05-20 01:58:53,74.8,refund
292,171,2024-03-10 13:09:35,243.44,purchase
293,759,2023-05-20 23:17:07,441.48,deposit
294,208,2023-12-10 10:58:27,75.21,withdrawal
295,895,2022-01-18 16:43:59,414.53,refund
296,880,2024-01-04 23:07:25,101.79,withdrawal
297,434,2024-09-19 07:44:06,80.86,deposit
197,454,2024-07-24 03:00:08,298.99,deposit
299,448,2024-11-03 15:32:41,270.89,withdrawal
300,625,2024-06-22 18:57:41,231.22,withdrawal
301,893,2025-03-08 22:49:41,22.83,refund
302,316,2023-06-07 13:27:11,411.9,refund
303,173,2024-05-08 21:53:12,18.44,purchase
304,890,,39.79,purchase
305,226,2024-01-24 01:14:47,43.52,withdrawal
306,772,2024-06-12 15:38:31,251.21,purchase
307,43,2022-04-07 07:55:55,10.03,purchase
308,436,,466.79,refund
309,421,2023-12-10 10:15:22,53.6,deposit
310,699,2024-03-13 16:48:15,,refund
311,89,2025-02-08 15:01:06,427.75,purchase
312,669,2025-05-29 13:49:34,480.65,purchase
313,4,2024-01-29 16:22:42,153.84,refund
314,536,2025-08-07 17:13:42,368.16,purchase
315,468,2023-01-08 08:01:05,451.56,
316,507,2024-09-17 04:07:44,107.05,refund
317,22,2025-08-23 01:43:54,456.64,withdrawal
318,847,2025-07-04 15:30:26,232.82,withdrawal
319,722,2022-05-08 10:45:33,138.17,deposit
306,772,2024-06-12 15:38:31,251.21,purchase
321,,2024-03-04 08:22:42,169.43,withdrawal
322,780,2024-06-20 10:25:52,462.7,refund
323,186,2022-09-08 12:05:57,492.13,withdrawal
324,264,2024-11-28 06:12:04,436.43,purchase
325,723,2022-02-18 08:33:22,476.42,withdrawal
326,787,2025-08-12 01:02:27,83.18,deposit
327,581,2025-04-05 01:52:22,464.89,purchase
328,800,2022-06-08 16:30:33,488.85,withdrawal
329,620,2024-06-04 06:39:31,283.89,refund
330,170,2023-06-11 02:35:16,408.0,withdrawal
331,519,2022-04-07 20:52:30,496.01,purchase
332,779,2025-08-17 20:56:01,59.58,purchase
333,888,2023-12-05 14:51:49,270.85,purchase
334,935,2024-04-25 14:23:24,337.83,purchase
335,57,2023-02-12 18:15:59,219.04,purchase
336,659,2025-06-30 08:20:16,190.04,purchase
337,213,2022-08-30 21:46:23,56.05,purchase
338,868,2023-01-08 22:58:13,,purchase
339,317,2025-05-12 20:16:16,362.66,purchase
340,409,,388.49,refund
341,632,2024-07-11 08:39:21,433.86,purchase
342,486,2022-06-14 18:33:31,293.3,deposit
343,533,2022-03-10 21:08:23,174.07,refund
344,,2023-09-10 20:01:25,136.67,purchase
345,951,2025-05-17 08:10:06,297.66,withdrawal
346,,2024-11-04 21:16:57,62.45,purchase
347,131,2022-11-20 14:03:16,128.61,deposit
348,804,2022-02-03 13:14:10,493.64,refund
349,343,2024-03-26 06:19:43,20.33,deposit
350,653,2024-03-19 03:02:25,444.3,
351,828,2022-04-15 15:22:25,110.67,purchase
352,572,2024-05-02 19:03:15,24.92,deposit
353,266,2024-05-20 05:52:49,133.97,withdrawal
354,260,2022-07-06 19:41:38,353.85,purchase
355,30,2024-02-23 22:22:22,43.69,refund
356,236,2025-04-29 19:47:44,359.01,withdrawal
357,475,2023-06-06 01:42:59,426.01,deposit
358,252,2023-11-16 23:28:16,317.71,purchase
359,146,2023-05-16 08:08:22,,deposit
360,983,2023-06-24 16:31:05,158.9,refund
361,353,2022-06-05 03:11:13,363.28,withdrawal
362,758,2023-11-26 04:44:49,,purchase
363,52,2023-04-04 06:21:55,154.91,deposit
364,63,2024-04-10 15:54:32,174.82,deposit
365,638,2024-03-01 13:56:02,137.54,withdrawal
366,285,2024-01-31 10:48:08,347.51,purchase
367,39,2023-01-08 01:21:23,335.69,purchase
368,247,2022-04-13 18:39:16,86.44,withdrawal
369,30,2022-04-29 05:30:06,48.42,withdrawal
161,200,2022-12-16 18:47:20,446.91,refund
371,664,2023-01-15 10:59:38,463.47,withdrawal
372,338,2022-02-08 14:26:23,232.23,deposit
373,109,2023-04-10 17:13:55,195.6,purchase
374,,2025-04-25 15:45:12,48.0,purchase
375,209,2023-11-07 18:43:33,451.11,purchase
376,144,2025-01-04 11:18:12,116.99,withdrawal
377,582,2023-01-08 04:43:21,222.24,
378,208,2024-07-03 15:20:33,,refund
379,831,2024-03-24 12:19:38,103.34,deposit
380,189,2024-07-02 04:25:46,231.31,deposit
381,52,2023-03-05 18:21:18,272.08,
382,573,2024-05-01 21:33:08,263.04,deposit
383,365,2022-05-05 15:06:09,12.29,refund
384,218,2023-06-06 11:04:54,246.01,purchase
385,307,2022-06-18 10:11:55,260.87,withdrawal
386,,2024-10-30 18:44:16,12.03,refund
387,235,2025-08-12 23:23:03,140.54,withdrawal
388,503,2022-08-17 15:24:18,195.8,deposit
389,568,2023-10-29 15:43:48,484.76,purchase
390,562,2023-08-21 04:41:27,220.34,withdrawal
391,746,2024-09-09 20:46:25,418.11,purchase
392,778,2023-07-25 16:46:13,376.64,refund
393,863,2023-09-27 05:36:18,290.51,withdrawal
394,311,2024-02-18 10:05:41,138.91,purchase
395,876,2025-06-14 22:42:20,92.84,withdrawal
396,584,2022-07-27 02:39:46,44.22,withdrawal
397,763,2022-02-11 08:21:58,80.13,deposit
398,910,,372.49,withdrawal
399,801,2024-10-05 19:28:33,244.94,refund
400,653,2023-04-15 09:39:03,373.5,purchase
401,311,2024-10-25 03:18:28,101.76,withdrawal
402,265,2022-08-12 08:33:44,101.1,refund
403,636,2022-05-31 20:33:02,335.07,deposit
404,940,2024-04-25 23:14:19,334.11,withdrawal
405,,2025-04-22 12:19:13,401.34,withdrawal
406,130,2024-11-14 08:47:50,82.63,withdrawal
407,452,2024-12-23 11:38:22,344.19,refund
408,36,2023-02-21 12:58:12,405.25,deposit
409,869,2023-03-15 11:29:35,31.9,purchase
410,943,2024-11-13 13:01:17,333.42,refund
411,208,2025-05-21 22:49:53,420.13,refund
412,351,2023-05-12 13:25:02,141.21,deposit
413,724,2025-01-25 06:28:07,410.75,withdrawal
414,122,2025-05-02 15:02:10,193.58,deposit
415,317,,53.14,purchase
416,713,2024-12-14 20:09:55,287.09,refund
417,185,2024-09-08 15:57:08,251.87,withdrawal
418,184,2023-01-13 13:35:59,204.21,purchase
419,633,2025-07-31 00:45:29,255.01,deposit
420,61,2024-04-29 21:32:57,302.16,withdrawal
421,833,2022-06-22 00:45:14,448.47,purchase
422,,2024-12-16 12:04:05,188.39,refund
423,614,2022-05-21 08:58:09,122.64,withdrawal
424,684,2023-06-12 22:01:49,135.09,
425,755,2024-01-08 16:33:52,326.32,purchase
426,437,2022-02-28 00:06:00,250.82,withdrawal
427,224,2024-06-14 02:26:22,211.55,withdrawal
428,156,2022-12-24 12:16:52,151.5,deposit
429,511,2025-03-19 08:41:55,452.17,purchase
430,399,2024-12-17 23:50:55,372.49,deposit
431,41,2024-11-06 09:35:33,179.62,purchase
432,879,2025-03-03 05:32:56,,purchase
433,20,2024-02-14 14:29:34,157.18,withdrawal
434,209,2024-07-01 23:08:10,337.42,deposit
435,172,2024-04-09 13:17:56,444.2,refund
436,386,2022-11-11 10:23:14,421.21,withdrawal
437,,2023-12-04 03:56:56,375.0,refund
438,548,2024-06-09 05:39:52,168.69,refund
439,182,2023-08-11 01:10:37,60.37,refund
440,165,2022-12-15 20:53:41,382.69,
441,690,2022-03-26 03:48:10,229.71,deposit
442,209,2025-08-08 19:29:08,269.54,refund
443,602,2025-06-29 03:10:39,109.25,deposit
444,905,2022-09-13 00:04:49,379.27,purchase
445,155,2023-04-30 15:02:58,498.31,deposit
446,561,2023-08-04 21:33:47,145.71,withdrawal
447,737,2022-04-05 06:46:09,170.08,withdrawal
448,303,2024-12-16 19:32:06,51.31,purchase
449,604,2024-03-31 10:46:47,24.19,deposit
450,341,,117.5,purchase
451,280,2025-06-30 14:34:22,166.74,purchase
452,333,2025-03-04 11:35:45,239.8,refund
453,155,2024-11-09 18:44:50,419.71,refund
454,811,2025-02-01 14:16:32,326.87,purchase
455,469,2023-04-25 15:37:57,70.14,withdrawal
456,294,2022-06-04 04:52:51,267.76,deposit
457,738,2025-05-14 21:29:30,271.89,deposit
458,755,2023-01-07 14:49:06,410.31,purchase
459,111,,284.24,refund
460,335,2024-05-20 07:25:24,98.36,
461,793,2025-01-18 00:21:04,438.8,purchase
462,495,2024-12-24 15:45:10,271.38,deposit
463,530,2024-08-01 15:52:24,126.62,
464,702,2023-09-12 18:42:27,302.28,refund
465,153,2022-02-26 00:29:59,281.03,purchase
466,647,2025-07-31 06:29:27,139.96,purchase
467,287,2023-11-03 06:26:59,354.07,refund
468,800,2022-06-30 02:12:37,20.85,
469,141,2023-08-14 17:54:17,476.18,withdrawal
470,698,,237.91,refund
471,67,2024-07-06 02:39:59,487.25,refund
472,514,,81.41,deposit
473,695,2023-02-24 05:56:23,125.02,withdrawal
474,716,2025-02-20 01:04:53,308.43,withdrawal
475,10,2024-06-29 14:01:03,177.7,deposit
476,675,2022-06-18 22:24:54,,deposit
477,474,2023-06-07 03:06:17,157.55,deposit
478,411,2025-06-06 12:54:40,348.91,purchase
479,736,2022-01-17 14:04:05,124.39,purchase
480,622,2023-06-19 22:45:50,452.07,withdrawal
481,960,2022-07-02 21:11:35,402.39,purchase
482,61,2023-11-18 05:02:39,279.12,purchase
483,544,2023-02-04 08:36:56,76.46,
484,178,2025-06-10 20:36:56,413.27,deposit
485,769,2022-01-11 10:00:54,406.94,deposit
486,332,2024-05-29 19:05:49,407.1,deposit
487,3,2022-07-14 05:31:58,283.1,refund
488,761,2022-02-26 12:49:52,233.03,deposit
489,725,2022-10-14 16:27:08,446.45,withdrawal
490,562,2023-12-20 07:27:23,277.94,purchase
491,833,2024-11-24 15:26:05,434.13,purchase
492,298,2022-07-07 21:25:05,175.95,deposit
493,656,2025-03-15 10:23:14,142.51,deposit
494,329,2023-03-27 10:37:12,74.39,withdrawal
495,476,2025-03-15 03:19:03,488.89,withdrawal
496,904,2025-03-05 07:48:55,155.8,deposit
497,164,2024-12-05 23:55:36,453.11,refund
498,666,2023-01-16 10:29:13,140.87,withdrawal
499,902,2022-04-12 05:58:29,305.39,purchase
500,671,2022-10-27 23:16:29,347.71,
501,838,2025-01-17 23:30:53,94.25,deposit
502,80,2023-01-17 15:37:17,141.72,purchase
503,990,2025-03-25 10:48:43,351.12,withdrawal
504,638,2023-12-29 10:33:47,400.61,
505,214,2023-11-11 07:41:29,471.47,deposit
506,694,2023-10-03 16:36:38,228.6,withdrawal
507,670,2022-06-09 11:59:01,66.79,purchase
508,803,2025-01-07 10:32:26,192.48,refund
509,,2025-04-25 06:27:57,163.58,purchase
510,244,2022-08-25 10:38:52,61.29,deposit
511,108,2023-03-02 02:54:14,97.85,refund
512,507,2022-06-17 16:02:37,45.15,purchase
513,847,2023-02-16 04:34:42,418.29,deposit
514,182,2022-07-18 08:57:20,386.79,refund
515,623,2022-10-27 07:59:14,34.36,purchase
516,155,2022-03-19 11:39:38,456.79,deposit
517,980,2024-11-24 12:55:38,498.05,purchase
518,52,2023-11-15 20:51:42,428.73,purchase
519,781,2025-04-02 19:43:40,400.08,withdrawal
520,,,463.08,deposit
521,423,2025-07-05 12:07:51,24.72,withdrawal
522,519,2024-09-21 21:24:41,435.74,deposit
523,385,2025-02-01 14:58:41,353.64,purchase
524,106,,28.53,deposit
525,977,2024-01-10 15:05:13,,withdrawal
526,365,2022-06-20 02:46:44,267.08,withdrawal
527,755,2025-02-07 18:47:26,,refund
528,314,2022-05-16 07:27:03,474.78,
529,292,2023-04-25 01:16:31,188.14,purchase
530,,2024-01-05 03:29:38,175.79,purchase
531,66,2024-04-21 19:18:56,163.88,withdrawal
532,406,,229.76,refund
533,714,2025-01-09 12:15:07,119.8,withdrawal
534,548,2024-05-16 04:11:53,138.01,refund
535,3,2023-05-12 14:28:47,352.09,refund
536,304,2023-12-29 11:14:11,392.64,refund
537,,2023-12-05 21:35:11,267.66,withdrawal
538,630,2024-04-12 23:16:42,323.68,withdrawal
539,314,2023-05-25 16:52:48,275.46,refund
540,518,,41.88,purchase
541,545,2025-06-19 11:06:16,40.87,deposit
542,218,2024-05-11 21:42:39,38.52,withdrawal
543,266,2022-10-07 01:43:52,263.49,refund
544,726,,83.1,withdrawal
545,191,2023-02-01 02:40:00,395.36,purchase
546,242,2023-04-25 01:39:37,70.32,refund
547,412,2023-07-27 17:14:39,409.0,refund
548,163,2022-04-05 13:41:01,410.22,deposit
549,576,2024-10-03 06:44:09,380.56,withdrawal
550,734,2024-07-30 23:48:26,353.48,purchase
551,,2023-12-09 00:27:27,,purchase
552,438,2022-09-05 04:53:30,203.35,withdrawal
553,475,2025-02-23 07:52:30,288.35,deposit
554,966,2022-08-08 09:16:15,,deposit
555,313,2025-04-04 17:44:54,25.97,deposit
556,642,2022-06-13 17:31:51,240.24,deposit
557,212,2023-09-12 16:30:33,283.91,deposit
558,759,2024-02-07 06:36:06,98.76,purchase
559,537,2025-01-23 21:35:32,288.2,purchase
560,983,2022-05-06 22:16:31,222.96,withdrawal
561,960,2023-02-10 15:02:13,59.11,withdrawal
562,20,2023-08-06 10:35:31,143.99,purchase
530,,2024-01-05 03:29:38,175.79,purchase
564,874,2024-09-16 00:00:48,86.66,refund
565,294,,211.07,refund
566,261,2023-04-16 08:45:28,423.61,
567,602,2023-06-30 20:43:59,28.33,withdrawal
568,991,2022-04-12 02:45:29,126.79,withdrawal
145,,2022-09-22 10:05:39,86.97,refund
570,223,2025-05-26 00:41:41,458.03,purchase
